FirstAuthor,Year,Journal,doi,ColourMap
Bigan,2002,Biomedizinische Technik. Biomedical engineering,10.1515/bmte.1998.43.s3.51,greyscale
Hauk,2002,Journal of neuroscience methods,10.1016/s0165-0270(01)00484-8,NA
Sun,2002,Annals of biomedical engineering,10.1114/1.1408928,greyscale
Gutiérrez,2002,Medical engineering & physics,10.1016/s1350-4533(01)00096-0,greyscale
Ray,2003,IEEE transactions on bio-medical engineering,10.1109/TBME.2003.819852,NA
Knoblauch,2003,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(03)00238-4,REMOVE
Sajda,2003,Disease markers,10.1155/2002/108741,greyscale
Posada,2003,The European journal of neuroscience,10.1046/j.1460-9568.2003.02962.x,greyscale
Espino,2003,Neuroscience,10.1016/s0306-4522(03)00549-9,greyscale
Delorme,2003,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,10.1109/TNSRE.2003.814428,NA
Feng,2003,Sheng wu hua xue yu sheng wu wu li xue bao Acta biochimica et biophysica Sinica, ,NA
Knoblauch,2003,The European journal of neuroscience,10.1046/j.1460-9568.2003.02729.x,jet-like
Pfurtscheller,2003,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(03)00067-1,NA
Yordanova,2003,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(02)00415-7,jet
Jouny,2003,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(02)00344-9,jet-like
Neuper,2003,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(02)00387-5,greyscale
Suarez,2003,Acta oto-laryngologica,10.1080/0036554021000028109,greyscale
Mouraux,2003,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(03)00027-0,jet-like
Müller,2003,Neuroscience letters,10.1016/s0304-3940(03)00019-3,greyscale
Scherer,2003,Biomedizinische Technik. Biomedical engineering,10.1515/bmte.2003.48.1-2.31,NOACCESS
Coatrieux,2003,Critical reviews in biomedical engineering,10.1615/critrevbiomedeng.v30.i123.20,jet
Alegre,2003,Neuroreport,10.1097/00001756-200303030-00017,greyscale
Lachaux,2003,Journal of neuroscience methods,10.1016/s0165-0270(02)00358-8,hot
Durka,2003,Biomedical engineering online,10.1186/1475-925x-2-1,jet
Düzel,2003,NeuroImage,10.1016/s1053-8119(02)00031-9,NA
Zhang,2003,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi, ,greyscale
Ravel,2003,The European journal of neuroscience,10.1046/j.1460-9568.2003.02445.x,jet
Gonzalez Andino,2004,Human brain mapping,10.1002/hbm.20056,jet
Wang,2004,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2004.06.022,NA
Vinton,2004,Epilepsia,10.1111/j.0013-9580.2004.04704.x,NA
Hassanpour,2004,Physiological measurement,10.1088/0967-3334/25/4/012,jet-like
Heinrich,2004,Neuroscience letters,10.1016/j.neulet.2004.07.055,RdYlBu
Hoechstetter,2004,Brain topography,10.1023/b:brat.0000032857.55223.5d,greyscale
Gabova,2004,"Doklady biological sciences : proceedings of the Academy of Sciences of the USSR, Biological sciences sections",10.1023/b:dobs.0000033274.44589.df,jet
Gurtubay,2004,Neuroscience letters,10.1016/j.neulet.2004.05.104,NA
Freeman,2004,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2004.02.028,jet
Snyder,2004,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2004.03.024,greyscale
Mäkinen,2004,Neuroreport,10.1097/01.wnr.0000134841.48507.5a,greyscale
Thakor,2004,Annual review of biomedical engineering,10.1146/annurev.bioeng.5.040202.121601,NA
Feng,2004,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi, ,greyscale
Durka,2004,IEEE transactions on bio-medical engineering,10.1109/TBME.2004.827341,NA
De Carli,2004,Brain research bulletin,10.1016/j.brainresbull.2003.12.013,greyscale
Durka,2004,"Physical review. E, Statistical, nonlinear, and soft matter physics",10.1103/PhysRevE.69.051914,NA
Ferrillo,2004,Sleep medicine,10.1016/j.sleep.2004.01.008,hot
Miwakeichi,2004,NeuroImage,10.1016/j.neuroimage.2004.03.039,jet
Ohara,2004,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2004.02.023,greyscale
Yordanova,2004,NeuroImage,10.1016/j.neuroimage.2004.01.040,NA
Lemm,2004,IEEE transactions on bio-medical engineering,10.1109/TBME.2004.827076,hot
Hosokawa,2004,Japanese journal of ophthalmology,10.1007/s10384-003-0052-9,RdBuGrBl
Perlitz,2004,"Psychotherapie, Psychosomatik, medizinische Psychologie",10.1055/s-2003-814877,greyscale
Mouraux,2004,Neuroscience letters,10.1016/j.neulet.2003.12.110,NA
Aviyente,2004,IEEE transactions on bio-medical engineering,10.1109/TBME.2004.824133,jet
Makeig,2004,Trends in cognitive sciences,10.1016/j.tics.2004.03.008,greyscale
Delorme,2004,Journal of neuroscience methods,10.1016/j.jneumeth.2003.10.009,NA
Ulusoy,2004,Biological cybernetics,10.1007/s00422-004-0469-3,NOACCESS
Blinowska,2004,Methods of information in medicine, ,GrBuRdYl
Marroquin,2004,NeuroImage,10.1016/j.neuroimage.2003.10.031,greyscale
Tarvainen,2004,IEEE transactions on bio-medical engineering,10.1109/TBME.2003.821029,NA
Vakkuri,2004,Acta anaesthesiologica Scandinavica,10.1111/j.0001-5172.2004.00323.x,greyscale
Keil,2004,Brain topography,10.1023/b:brat.0000006334.15919.2c,jet
Martin,2004,The Journal of neuroscience : the official journal of the Society for Neuroscience,10.1523/JNEUROSCI.3433-03.2004,jet
Alegre,2004,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/s1388-2457(03)00311-0,greyscale
Matysiak,2005,Acta neurobiologiae experimentalis, ,jet
Deng,2005,Journal of neural engineering,10.1088/1741-2560/2/4/009,jet
Qin,2005,Journal of neural engineering,10.1088/1741-2560/2/4/001,jet
Rojas,2005,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2005.08.032,jet
Wingeier,2005,Experimental neurology,10.1016/j.expneurol.2005.09.016,greyscale
Liu,2005,Computers in biology and medicine,10.1016/j.compbiomed.2005.08.002,jet
Alegre,2005,The European journal of neuroscience,10.1111/j.1460-9568.2005.04409.x,jet
de Tommaso,2005,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2005.08.019,jet
Scheller,2005,Anesthesiology,10.1097/00000542-200511000-00007,jet
Busch,2005,NeuroImage,10.1016/j.neuroimage.2005.09.009,jet
Yamagishi,2005,Brain research. Cognitive brain research,10.1016/j.cogbrainres.2005.09.006,jet
Kamarajan,2005,Biological psychiatry,10.1016/j.biopsych.2005.08.017,jet
Hsiao,2005,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2005.08.001,jet
Drewes,2005,Gut,10.1136/gut.2005.068460,jet
Mørup,2005,NeuroImage,10.1016/j.neuroimage.2005.08.005,GrBk
Gladwin,2005,Biological psychology,10.1016/j.biopsycho.2005.05.005,NA
Adeli,2005,Clinical EEG and neuroscience,10.1177/155005940503600303,greyscale
Karakaş,2005,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2005.05.009,jet
Hald,2005,Brain and language,10.1016/j.bandl.2005.06.007,NA
Durka,2005,Journal of neuroscience methods,10.1016/j.jneumeth.2005.02.010,greyscale
Ansari-Asl,2005,IEEE transactions on bio-medical engineering,10.1109/TBME.2005.847541,jet
Schmiedt,2005,Neuroscience letters,10.1016/j.neulet.2005.06.049,greyscale
Mäkinen,2005,NeuroImage,10.1016/j.neuroimage.2005.06.004,jet
Padmanabhapillai,2005,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2005.03.026,jet
Muthukumaraswamy,2005,Neurology & clinical neurophysiology : NCN, ,Blues
Wilson,2005,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2005.04.025,jet
Bernat,2005,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2005.01.019,greyscale
Kiebel,2005,Human brain mapping,10.1002/hbm.20153,jet
Onton,2005,NeuroImage,10.1016/j.neuroimage.2005.04.014,jet-like
Zygierewicz,2005,Journal of neuroscience methods,10.1016/j.jneumeth.2005.01.013,greyscale
Ozdemir,2005,Journal of neuroscience methods,10.1016/j.jneumeth.2004.12.003,greyscale
Klimesch,2005,Experimental psychology,10.1027/1618-3169.52.2.99,greyscale
Jung,2005,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/bhi090,jet
Tağluk,2005,Journal of neuroscience methods,10.1016/j.jneumeth.2004.10.007,NA
Pfurtscheller,2005,Neuroscience letters,10.1016/j.neulet.2004.12.034,NA
Durka,2005,Biomedical engineering online,10.1186/1475-925X-4-15,NA
James,2005,Physiological measurement,10.1088/0967-3334/26/1/r02,NA
Jouny,2005,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2004.08.024,greyscale
Lagerlund,2005,Autonomic neuroscience : basic & clinical,10.1016/j.autneu.2004.11.010,greyscale
Kilner,2005,Neuroscience letters,10.1016/j.neulet.2004.10.052,jet
Majumdar,2006,IEEE transactions on bio-medical engineering,10.1109/TBME.2006.883733,jet-like
Alba,2006,Journal of neuroscience methods,10.1016/j.jneumeth.2006.10.018,PuBu
Vialatte,2006,Neural networks : the official journal of the International Neural Network Society,10.1016/j.neunet.2006.09.013,jet
Crone,2006,Progress in brain research,10.1016/S0079-6123(06)59019-3,hot
Durka,2006,Progress in brain research,10.1016/S0079-6123(06)59008-9,jet
Graimann,2006,Progress in brain research,10.1016/S0079-6123(06)59006-5,greyscale
Bostanov,2006,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2006.08.012,jet
Bernat,2006,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2006.07.015,jet
Montez,2006,NeuroImage,10.1016/j.neuroimage.2006.06.066,NA
Ince,2006,Computers in biology and medicine,10.1016/j.compbiomed.2006.08.014,greyscale
Malinowska,2006,Computers in biology and medicine,10.1016/j.compbiomed.2006.08.005,NA
Vanhatalo,2006,Seminars in fetal & neonatal medicine,10.1016/j.siny.2006.07.009,jet
Jones,2006,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2006.02.028,NA
Ince,2006,Journal of neural engineering,10.1088/1741-2560/3/3/006,greyscale
Tierra-Criollo,2006,Arquivos de neuro-psiquiatria,10.1590/s0004-282x2006000300010,greyscale
Bokil,2006,IEEE transactions on bio-medical engineering,10.1109/TBME.2006.877802,jet
Padmanabhapillai,2006,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2006.05.012,NA
Papo,2006,"Cerebral cortex (New York, N.Y. : 1991)",10.1093/cercor/bhl042,NA
Lei,2006,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi, ,NA
Cui,2006,IEEE transactions on bio-medical engineering,10.1109/TBME.2006.873700,greyscale
Kirmizi-Alsan,2006,Brain research,10.1016/j.brainres.2006.03.010,greyscale
Yamawaki,2006,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,10.1109/TNSRE.2006.875567,NA
McFarland,2006,IEEE transactions on neural systems and rehabilitation engineering : a publication of the IEEE Engineering in Medicine and Biology Society,10.1109/TNSRE.2006.875637,jet
Kim,2006,Neuroscience letters,10.1016/j.neulet.2006.04.016,hot
Mainy,2006,Human brain mapping,10.1002/hbm.20264,jet
Heim,2006,Experimental brain research,10.1007/s00221-006-0560-1,REMOVE
Shinar,2006,Autonomic neuroscience : basic & clinical,10.1016/j.autneu.2006.04.006,greyscale
Alegre,2006,Journal of clinical neurophysiology : official publication of the American Electroencephalographic Society,10.1097/01.wnp.0000201075.31438.fb,NA
Helbig,2006,Journal of neuroscience methods,10.1016/j.jneumeth.2006.04.012,jet
Yordanova,2006,NeuroImage,10.1016/j.neuroimage.2006.03.056,greyscale
Karakaş,2006,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2006.03.005,jet
David,2006,NeuroImage,10.1016/j.neuroimage.2006.02.034,NA
de Jong,2006,Brain research,10.1016/j.brainres.2006.03.030,NA
Hesse,2006,Medical & biological engineering & computing,10.1007/BF02430955,NA
Li,2006,IEEE transactions on neural networks,10.1109/TNN.2005.863424,jet
Zhan,2006,Journal of neuroscience methods,10.1016/j.jneumeth.2006.02.013,jet
Chiu,2006,Journal of neural engineering,10.1088/1741-2560/3/1/002,jet
Lin,2006,Epilepsy research,10.1016/j.eplepsyres.2005.12.006,jet
Wan,2006,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2005.07.025,jet
Wan,2006,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2005.12.015,jet
Valencia,2006,Journal of neuroscience methods,10.1016/j.jneumeth.2005.12.011,greyscale
Murata,2006,Human factors,10.1518/001872005774860096,greyscale
Bosnyakova,2006,Journal of neuroscience methods,10.1016/j.jneumeth.2005.12.006,RdBu
Studer,2006,Journal of neuroscience methods,10.1016/j.jneumeth.2005.11.006,jet
Kauhanen,2006,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2005.10.024,hot
Rudrauf,2006,NeuroImage,10.1016/j.neuroimage.2005.11.021,NA
Ho,2007,NeuroImage,10.1016/j.neuroimage.2007.11.014,jet
Alegre,2007,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2007.10.017,jet
Huang,2007,NeuroImage,10.1016/j.neuroimage.2007.10.036,jet
Garcia-Rill,2007,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2007.10.027,jet
Fuentemilla,2007,Brain research,10.1016/j.brainres.2007.07.079,greyscale
Martínez-Montes,2007,Statistics in medicine,10.1002/sim.3132,jet
Inoue,2007,Brain & development,10.1016/j.braindev.2007.10.003,greyscale
Vuckovic,2007,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2007.10.015,jet
Jiang,2007,Journal of cognitive neuroscience,10.1162/jocn.2008.20050,NA
Mohseni,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2006.260931,NA
Li,2007,Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi, ,greyscale
Kim,2007,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2007.4353776,NA
Nazarpour,2007,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2007.4353774,jet
Bénar,2007,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2007.4353581,NA
De Vico Fallani,2007,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2007.4353513,jet
Dalal,2007,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2007.4353449,NA
Ktonas,2007,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2007.4352827,greyscale
Khlif,2007,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2007.4352527,jet
Poh,2007,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2007.4352360,jet
Yoshida,2007,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2007.4352212,greyscale
Brotchie,2007,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2007.4352210,jet
Tzallas,2007,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,10.1109/IEMBS.2007.4352208,NA
Hong,2007,Psychophysiology,10.1111/j.1469-8986.2007.00624.x,jet
Zygierewicz,2007,Journal of neuroscience methods,10.1016/j.jneumeth.2007.09.026,jet
Ford,2007,Biological psychiatry,10.1016/j.biopsych.2007.09.013,jet
Ince,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2006.260052,jet
Aviyente,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2006.259590,NA
Merzagora,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2006.260247,NA
Xanthopoulos,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2006.260554,NA
Dat,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2006.259906,greyscale
Wong,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2006.259472,hot
Romcy-Pereira,2007,Journal of neuroscience methods,10.1016/j.jneumeth.2007.08.027,greyscale
Tong,2007,IEEE transactions on bio-medical engineering,10.1109/TBME.2007.893497,jet
Marco-Pallares,2007,Neuropsychologia,10.1016/j.neuropsychologia.2007.07.016,jet
Scheeringa,2007,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2007.05.017,NA
Hesse,2007,Medical & biological engineering & computing,10.1007/s11517-006-0103-8,jet
Papo,2007,International journal of psychophysiology : official journal of the International Organization of Psychophysiology,10.1016/j.ijpsycho.2007.06.004,greyscale
Bénar,2007,Information processing in medical imaging : proceedings of the ... conference,10.1007/978-3-540-73273-0_38,jet
Kim,2007,NeuroImage,10.1016/j.neuroimage.2007.04.068,jet
Davidson,2007,Brain research,10.1016/j.brainres.2007.04.082,jet
Bosnyakova,2007,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,10.1016/j.clinph.2007.04.013,jet
Richard,2007,"Cellular and molecular biology (Noisy-le-Grand, France)", ,jet
Grau,2007,NeuroImage,10.1016/j.neuroimage.2007.03.027,NA
Asyali,2007,Computers in biology and medicine,10.1016/j.compbiomed.2007.03.001,NA
Kamousi,2007,Journal of neural engineering,10.1088/1741-2560/4/2/002,jet
Chen,2007,Human brain mapping,10.1002/hbm.20386,hot
Hsu,2007,Journal of neuroscience methods,10.1016/j.jneumeth.2007.02.004,NOACCESS
Yamawaki,2007,Methods of information in medicine, ,greyscale
Yoshida,2007,Methods of information in medicine, ,NA
Tecchio,2007,The Journal of physiology,10.1113/jphysiol.2007.129163,jet
Le Van Quyen,2007,"Journal of physiology, Paris",10.1016/j.jphysparis.2007.01.006,hot
Tolonen,2007,Neuroscience,10.1016/j.neuroscience.2006.12.070,jet
Grabner,2007,Brain research bulletin,10.1016/j.brainresbull.2007.01.001,jet
Freunberger,2007,Brain research bulletin,10.1016/j.brainresbull.2006.11.014,jet
Lin,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2005.1617045,jet
Cho,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2005.1617036,NA
Gule,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2005.1617029,NA
Zhang,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2005.1617018,greyscale
Navarro,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2005.1616878,greyscale
Mahmoud,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2005.1616545,jet
Valiante,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2005.1616438,greyscale
Hansson,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2005.1616195,jet
Huang,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2005.1615794,NA
Dharwarkar,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2005.1615692,NA
Herman,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2005.1615691,jet
Bernard,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2005.1615679,greyscale
Sweeney-Reed,2007,Journal of computational neuroscience,10.1007/s10827-007-0020-3,NA
Franaszczuk,2007,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual Conference,10.1109/IEMBS.2004.1403326,RdBl
